	734.6	OPEN LONG	none	muted
2026-05-24T08:26:21.378Z	734.7	OPEN SHORT	none	muted
2026-05-24T08:26:21.378Z	734.8	CANDLE	NEW — processing tick-pair	ok
2026-05-24T08:26:21.379Z	734.TP1	TICK-PAIR CLOSE	0.9780 → tick 0.9780	info
2026-05-24T08:26:21.379Z	734.TP2	OSC 1/6	P1a=0.9780 — waiting for P1b	muted
2026-05-24T08:26:21.380Z	734.9	OSC COUNTER	0/3 · step=2/6 P1a=0.9780	muted
2026-05-24T08:26:21.380Z	734.10	WAITING FOR BAND	A-B-A-B-A-B · step 2/6 · counter=0/3	muted
2026-05-24T08:26:21.383Z	734.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:26:41.386Z	735.1	POLL START	fetching 4 candles	muted
2026-05-24T08:26:41.959Z	735.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:26:41.961Z	735.3	LAST CLOSE	0.9770	info
2026-05-24T08:26:41.961Z	735.4	TICK SIZE	0.001000	info
2026-05-24T08:26:41.962Z	735.5	inOsc / dir	false / LONG	muted
2026-05-24T08:26:41.962Z	735.6	OPEN LONG	none	muted
2026-05-24T08:26:41.963Z	735.7	OPEN SHORT	none	muted
2026-05-24T08:26:41.963Z	735.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-24T08:26:41.964Z	735.TP1	TICK-PAIR CLOSE	0.9770 → tick 0.9770	info
2026-05-24T08:26:41.964Z	735.TP2	OSC 2/6	P1a=0.9780 P1b=0.9770 counter=1 — need c3=P1a	warn
2026-05-24T08:26:41.965Z	735.9	OSC COUNTER	1/3 · step=3/6 P1a=0.9780 P1b=0.9770	muted
2026-05-24T08:26:41.965Z	735.10	WAITING FOR BAND	A-B-A-B-A-B · step 3/6 · counter=1/3	muted
2026-05-24T08:26:41.968Z	735.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:27:01.972Z	736.1	POLL START	fetching 4 candles	muted
2026-05-24T08:27:02.542Z	736.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:27:02.543Z	736.3	LAST CLOSE	0.9780	info
2026-05-24T08:27:02.544Z	736.4	TICK SIZE	0.001000	info
2026-05-24T08:27:02.544Z	736.5	inOsc / dir	false / LONG	muted
2026-05-24T08:27:02.545Z	736.6	OPEN LONG	none	muted
2026-05-24T08:27:02.545Z	736.7	OPEN SHORT	none	muted
2026-05-24T08:27:02.546Z	736.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-24T08:27:02.546Z	736.TP1	TICK-PAIR CLOSE	0.9780 → tick 0.9780	info
2026-05-24T08:27:02.547Z	736.TP2	OSC 3/6	c3=P1a ✓ counter=2 — need c4=P1b	warn
2026-05-24T08:27:02.547Z	736.9	OSC COUNTER	2/3 · step=4/6 P1a=0.9780 P1b=0.9770	muted
2026-05-24T08:27:02.547Z	736.10	WAITING FOR BAND	A-B-A-B-A-B · step 4/6 · counter=2/3	muted
2026-05-24T08:27:02.550Z	736.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:27:22.553Z	737.1	POLL START	fetching 4 candles	muted
2026-05-24T08:27:23.122Z	737.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:27:23.123Z	737.3	LAST CLOSE	0.9770	info
2026-05-24T08:27:23.124Z	737.4	TICK SIZE	0.001000	info
2026-05-24T08:27:23.124Z	737.5	inOsc / dir	false / LONG	muted
2026-05-24T08:27:23.125Z	737.6	OPEN LONG	none	muted
2026-05-24T08:27:23.125Z	737.7	OPEN SHORT	none	muted
2026-05-24T08:27:23.126Z	737.8	CANDLE	NEW — processing tick-pair	ok
2026-05-24T08:27:23.126Z	737.TP1	TICK-PAIR CLOSE	0.9770 → tick 0.9770	info
2026-05-24T08:27:23.127Z	737.TP2	OSC 4/6	c4=P1b ✓ — need c5=P1a	warn
2026-05-24T08:27:23.128Z	737.9	OSC COUNTER	2/3 · step=5/6 P1a=0.9780 P1b=0.9770	muted
2026-05-24T08:27:23.128Z	737.10	WAITING FOR BAND	A-B-A-B-A-B · step 5/6 · counter=2/3	muted
2026-05-24T08:27:23.130Z	737.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:27:43.134Z	738.1	POLL START	fetching 4 candles	muted
2026-05-24T08:27:43.643Z	738.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:27:43.645Z	738.3	LAST CLOSE	0.9780	info
2026-05-24T08:27:43.646Z	738.4	TICK SIZE	0.001000	info
2026-05-24T08:27:43.646Z	738.5	inOsc / dir	false / LONG	muted
2026-05-24T08:27:43.647Z	738.6	OPEN LONG	none	muted
2026-05-24T08:27:43.648Z	738.7	OPEN SHORT	none	muted
2026-05-24T08:27:43.648Z	738.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-24T08:27:43.649Z	738.TP1	TICK-PAIR CLOSE	0.9780 → tick 0.9780	info
2026-05-24T08:27:43.649Z	738.TP2	OSC 5/6	c5=P1a ✓ counter=3 — need c6=P1b	warn
2026-05-24T08:27:43.650Z	738.9	OSC COUNTER	3/3 · step=6/6 P1a=0.9780 P1b=0.9770	ok
2026-05-24T08:27:43.650Z	738.10	WAITING FOR BAND	A-B-A-B-A-B · step 6/6 · counter=3/3	muted
2026-05-24T08:27:43.652Z	738.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:28:03.658Z	739.1	POLL START	fetching 4 candles	muted
2026-05-24T08:28:04.212Z	739.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:28:04.214Z	739.3	LAST CLOSE	0.9780	info
2026-05-24T08:28:04.214Z	739.4	TICK SIZE	0.001000	info
2026-05-24T08:28:04.215Z	739.5	inOsc / dir	false / LONG	muted
2026-05-24T08:28:04.215Z	739.6	OPEN LONG	none	muted
2026-05-24T08:28:04.216Z	739.7	OPEN SHORT	none	muted
2026-05-24T08:28:04.216Z	739.8	CANDLE	NEW — processing tick-pair	ok
2026-05-24T08:28:04.217Z	739.TP1	TICK-PAIR CLOSE	0.9780 → tick 0.9780	info
2026-05-24T08:28:04.217Z	739.TP2	OSC RESET	c6 0.9780 ≠ P1b 0.9770 → restart	muted
2026-05-24T08:28:04.218Z	739.9	OSC COUNTER	0/3 · step=1/6	muted
2026-05-24T08:28:04.218Z	739.10	WAITING FOR BAND	A-B-A-B-A-B · step 1/6 · counter=0/3	muted
2026-05-24T08:28:04.220Z	739.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:28:24.224Z	740.1	POLL START	fetching 4 candles	muted
2026-05-24T08:28:24.792Z	740.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:28:24.794Z	740.3	LAST CLOSE	0.9770	info
2026-05-24T08:28:24.795Z	740.4	TICK SIZE	0.001000	info
2026-05-24T08:28:24.795Z	740.5	inOsc / dir	false / LONG	muted
2026-05-24T08:28:24.795Z	740.6	OPEN LONG	none	muted
2026-05-24T08:28:24.796Z	740.7	OPEN SHORT	none	muted
