Sym	Venue	Direction	Entry	Exit	Reason	Gross	Fees	Net	Outcome	HoldMin	TimeOpen	TimeClose
XRP_MEXC	MEXC	LONG	1.347	1.3475000000000001	TP	185.6	0	185.6	WIN	2	13:00:41	13:02:48
ETH_HL	HL	LONG	2025.8000000000002	2026.4	TP	185.11	187.5	-2.39	WIN	52	13:01:14	13:53:03
ETH_HL	HL	LONG	2026.5	2026.7	TRAIL_STOP	61.68	375	-313.32	TRAIL_STOP	1	13:53:21	13:54:11
XRP_MEXC	MEXC	LONG	1.3512	1.3517000000000001	TP	185.02	0	185.02	WIN	0	13:55:18	13:55:24
ETH_HL	HL	LONG	2026.1000000000001	2026.3000000000002	TRAIL_STOP	61.69	375	-313.31	TRAIL_STOP	1	13:55:30	13:56:14
XRP_MEXC	MEXC	LONG	1.3513000000000002	1.3518000000000001	TP	185.01	0	185.01	WIN	0	13:56:08	13:56:25
XRP_MEXC	MEXC	SHORT	1.3518000000000001	1.3519	SOFT_STOP	-36.99	0	-36.99	SOFT_STOP	1	13:56:25	13:57:04
XRP_HL	HL	LONG	1.3518000000000001	1.3521	TRAIL_STOP	110.96	300	-189.04	TRAIL_STOP	1	13:56:48	13:57:38
XRP_MEXC	MEXC	LONG	1.3519	1.3521	TP	73.97	0	73.97	WIN	0	13:59:09	13:59:09
XRP_MEXC	MEXC	SHORT	1.3521	1.3519	TP	73.96	0	73.96	WIN	1	13:59:09	13:59:48
XRP_MEXC	MEXC	LONG	1.3519	1.3518	SOFT_STOP	-36.98	0	-36.98	SOFT_STOP	0	13:59:48	14:00:05
ETH_MEXC	MEXC	LONG	2025.9	2026.1000000000001	TP	61.7	0	61.7	WIN	0	14:00:37	14:00:38
XRP_MEXC	MEXC	LONG	1.3515000000000001	1.3519	TP	147.98	0	147.98	WIN	0	14:00:37	14:00:38
XRP_HL	HL	LONG	1.352	1.3522	TRAIL_STOP	73.96	300	-226.04	TRAIL_STOP	1	13:59:26	14:00:54
ETH_HL	HL	LONG	2026	2026.1000000000001	TRAIL_STOP	30.85	375	-344.15	TRAIL_STOP	0	14:00:43	14:01:11
XRP_MEXC	MEXC	SHORT	1.3519	1.3515000000000001	TP	147.94	0	147.94	WIN	1	14:00:38	14:02:04
XRP_MEXC	MEXC	LONG	1.3515000000000001	1.3519	TP	147.98	0	147.98	WIN	0	14:02:04	14:02:19
XRP_HL	HL	LONG	1.3516000000000001	1.352	TRAIL_STOP	147.97	300	-152.03	TRAIL_STOP	1	14:03:20	14:04:10
