WallTime,PollStep,Label,Value,Status
2026-05-22T13:13:52.111Z,1.1,"POLL START","fetching 25 candles  (seed)",muted
2026-05-22T13:13:52.428Z,1.2,"CANDLES FETCHED","25 in window · fetched 25",ok
2026-05-22T13:13:52.428Z,1.3,"LAST CANDLE TS","08:13 EDT",info
2026-05-22T13:13:52.428Z,1.4,"LAST CLOSE","1.0310",info
2026-05-22T13:13:52.428Z,1.5,"TICK SIZE","0.00100",info
2026-05-22T13:13:52.428Z,1.6,"DAY RANGE","0.98%",ok
2026-05-22T13:13:52.428Z,1.7,"CANDLE CHECK","NEW candle — processing",ok
2026-05-22T13:13:52.428Z,1.8,"OSC — 10C CLOSE HI","1.0350",info
2026-05-22T13:13:52.428Z,1.9,"OSC — 10C CLOSE LO","1.0310",info
2026-05-22T13:13:52.428Z,1.10,"OSC — 10C RANGE","0.00400 (max: 0.00300)",bad
2026-05-22T13:13:52.428Z,1.11,"OSC — CLUSTER 5C","NO cluster within 2tk",warn
2026-05-22T13:13:52.428Z,1.12,"OSC RESULT","NOT DETECTED",muted
2026-05-22T13:13:52.428Z,1.13,"STATE inOsc","false",muted
2026-05-22T13:13:52.428Z,1.14,"STATE oscBreakCount","0",muted
2026-05-22T13:13:52.428Z,1.15,"STATE openLong","none",muted
2026-05-22T13:13:52.428Z,1.16,"3C RECENT HIGH","1.0350",info
2026-05-22T13:13:52.428Z,1.17,"3C RECENT LOW","1.0310",info
2026-05-22T13:13:52.428Z,1.18,"BRANCH","D — flat, no oscillation, watching",muted
2026-05-22T13:14:02.114Z,2.1,"POLL START","fetching 4 candles (incremental, history in memory)",muted
2026-05-22T13:14:02.489Z,2.2,"CANDLES FETCHED","25 in window · fetched 3",ok
2026-05-22T13:14:02.489Z,2.3,"LAST CANDLE TS","08:13 EDT",info
2026-05-22T13:14:02.489Z,2.4,"LAST CLOSE","1.0320",info
2026-05-22T13:14:02.490Z,2.5,"TICK SIZE","0.00100",info
2026-05-22T13:14:02.490Z,2.6,"DAY RANGE","0.98%",ok
2026-05-22T13:14:02.490Z,2.7,"CANDLE CHECK","LIVE candle — intra-poll processing",info
