WallTime	PollStep	Label	Value	Status
2026-05-25T13:28:05.278Z	3.1	POLL START	fetching 25 candles	muted
2026-05-25T13:28:06.478Z	3.2	CANDLES	25 in window · fetched 25	ok
2026-05-25T13:28:06.478Z	3.3	LAST CLOSE	0.22640	info
2026-05-25T13:28:06.479Z	3.4	TICK SIZE	0.000100	info
2026-05-25T13:28:06.479Z	3.5	inOsc / dir	false / LONG	muted
2026-05-25T13:28:06.479Z	3.6	OPEN LONG	none	muted
2026-05-25T13:28:06.479Z	3.7	OPEN SHORT	none	muted
2026-05-25T13:28:06.479Z	3.8	CANDLE	NEW — processing tick-pair	ok
2026-05-25T13:28:06.479Z	3.ZW1	ZONE SAMPLE	0.22640 → 0.22640	info
2026-05-25T13:28:06.480Z	3.ZW2	ZW ANCHOR-L	0.22640 — waiting for upper anchor	muted
2026-05-25T13:28:06.480Z	3.9	ZW PROGRESS	L=0.22640 · empty	muted
2026-05-25T13:28:06.480Z	3.10	WAITING FOR BAND	K-of-N zone-window · N=4 K=4 · buf=0	muted
2026-05-25T13:28:26.489Z	6.1	POLL START	fetching 4 candles	muted
2026-05-25T13:28:27.158Z	6.2	CANDLES	26 in window · fetched 4	ok
2026-05-25T13:28:27.158Z	6.3	LAST CLOSE	0.22640	info
2026-05-25T13:28:27.158Z	6.4	TICK SIZE	0.000100	info
2026-05-25T13:28:27.159Z	6.5	inOsc / dir	false / LONG	muted
2026-05-25T13:28:27.159Z	6.6	OPEN LONG	none	muted
2026-05-25T13:28:27.159Z	6.7	OPEN SHORT	none	muted
2026-05-25T13:28:27.159Z	6.8	CANDLE	NEW — processing tick-pair	ok
2026-05-25T13:28:27.160Z	6.ZW1	ZONE SAMPLE	0.22640 → 0.22640	info
2026-05-25T13:28:27.160Z	6.ZW2	ZW ANCHOR-L	0.22640 (re-anchor) — waiting for upper anchor	muted
2026-05-25T13:28:27.160Z	6.9	ZW PROGRESS	L=0.22640 · empty	muted
2026-05-25T13:28:27.160Z	6.10	WAITING FOR BAND	K-of-N zone-window · N=4 K=4 · buf=0	muted
